yoruba	english
Àwọn Àmì-ìwé Wẹ́ẹ̀bù Epiphany	Epiphany Web Bookmarks
Àwọn Àmì-ìwé Wẹ́ẹ̀bù	Web Bookmarks
Wáròyìn kí o sì ṣààtò àwọn àmì-ìwé rẹ	Browse and organize your bookmarks
"Wá wẹ́ẹ̀bù náàhttp://www.google.nl"" and ""http://www.google.nl/search?q=<UNK>"	Search the web
"http://www.google.com/search?ie=UTF-8oe=UTF-8q=http://www.google.nl"" and ""http://www.google.nl/search?q=<UNK>"	http://www.google.com
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	http://www.google.com/search?q=<UNK>amp;ie=UTF-8amp;oe=UTF-8
Epiphany (RDF)	Epiphany
Awáròyìn Wẹ́ẹ̀bù	Web Browser
Awáròyìn Wẹ́ẹ̀bù Epiphany	Epiphany Web Browser
Wáròyìn wẹ́ẹ̀bù náà	Browse the web
Gbagbára iṣẹ́ ìdarí JavaScript chrome	Disable JavaScript chrome control
Gbagbára iṣẹ́ ìdarí JavaScript lórí chrome fèrèsé.	Disable JavaScript's control over window chrome.
Fi àká-àtòjọ-ẹ̀yàn pamọ́ nípa ìpéwọ̀n	Hide menubar by default
Fi àká-àtòjọ-ẹ̀yàn pamọ́ nípa ìpéwọ̀n	Hide the menubar by default.
Gbagbá iṣẹ́ àwọn ìlàálẹ̀ òfin tó léwu	Disable unsafe protocols
Ń gbagbára iṣẹ́ kíki àkóónú láti inú àwọn ìlàálẹ̀ òfin tó léwu. Àwọn ìlàálẹ̀ òfin tí kò léwu ni http àti àwọn http.	Disables loading of content from unsafe protocols. Safe protocols are http and https.
Àfikún à̀wọn ìlàálẹ̀ òfin tí kò léwu	Additional safe protocols
Àtòjọ àwọn ìlàálẹ̀ òfin tí a lè ní pé kòséwu fún ní àfikún sí ìpéwọ̀n náà nígbà tí a bá fún gba agbára kíàwọn ìlàálẹ̀ òfintó léwu lágbára láti ṣiṣẹ́.	A list of protocols to be considered safe in addition to the default, when disableunsafeprotocols is enabled.
Gbagbára iṣẹ́ àwọn URL aláìnídìí	Disable arbitrary URLs
Gbagbára iṣẹ́ ipá òǹlò láti tẹ̀wé nínú URL sí Epiphany.	Disable the user's ability to type in a URL to Epiphany.
Gbagbára iṣẹ́ ìṣàyẹ̀wò àmì-ìwé	Disable bookmark editing
Gbagbára iṣẹ́ ipá òǹlò láti ṣàfikún tàbí láti ṣàyẹ̀wò àwọn àmì-ìwé.	Disable the user's ability to add or edit bookmarks.
Gbagbára ìṣàyẹ̀wò àká-irinṣẹ́	Disable toolbar editing
Gbagbára iṣẹ́ ipá òǹlò láti ṣàyẹ̀wò àwọn àká-irinṣẹ́.	Disable the user's ability to edit toolbars.
Gbagbára iṣẹ́ ìtàn	Disable history
Gbagbára iṣẹ́ gbogbo ìròyìn ajẹmọ́tàn nípa gbígbára ìtọpa ìlọsẹ́yìn àti iwájú. Kó má́ fàyè gba onísọ̀rọ̀gbèsì ìtàn kó sí fi àtòjọ àwọn àmì-ìwé tó lò jù pamọ́.	Disable all historical information by disabling back and forward navigation, not allowing the history dialog and hiding the most used bookmarks list.
Tìí ní móòdù ojú kọ̀ǹpútà kíkún	Lock in fullscreen mode
Ń ti Epiphany ní móòdù ojú kọ̀ǹpútà kíkún.	Locks Epiphany in fullscreen mode.
Epiphany kò lè jáde	Epiphany cannot quit
A kò fàyè gba òǹlò láti ti Epiphany	User is not allowed to close Epiphany
Ojú-ìwé ilé	Home page
Àdírẹ̀sì ojú-ìwé ilé òǹlò náà.	Address of the user's home page.
Sákánì àkókò àwọn ojú-ìwé ìtàn	History pages time range
"Fi àwọn ojú-ìwé ìtàn tí a bẹ̀wò hàn ""nígbà gbogbo"", ""lọ́jọ́méjìsẹ́yìn"", ""lónìí""."	"Show the history pages visited ""ever"", ""lasttwodays"", ""lastthreedays"", ""today""."
Ìròyìn àmì-ìwé náà tí a fi hàn nínú òye olótùú náà	The bookmark information shown in the editor view
"Ìròyìn àmì-ìwé náà tí a fi hàn nínú òye olótùú náà. Àwọn fálù tó fesẹ̀múlẹ̀ nínú àtòjọ náà ni ""àdírẹ̀sì"" àti""àkọ́lé""."	"The bookmark information shown in the editor view. Valid values in the list are ""address"" and ""title""."
Ìròyìn ojú-ìwé tí a fihàn nínú òye ìtàn náà	The page information shown in the history view
"Ìròyìn ojú-ìwé tí a fihàn nínú òye ìtàn náà. Àwọn fálù tó fẹsẹ̀múlẹ̀ nínú àtòjọ náà ni ""àdírẹ̀sì"", ""àkọ́lé""."	"The page information shown in the history view. Valid values in the list are ""ViewTitle"", ""ViewAddress"" and ""ViewDateTime""."
x-western	x-western
Èdè àwọn ìrísí-lẹ́tà tí a ṣẹ̀ yàn lọ́wọ́lọ́wọ́	The currently selected fonts language
"Èdè àwọn ìrísí-lẹ́tà tí a ṣẹ̀ yàn lọ́wọ́lọ́wọ́. Àwọn fálù tó fẹ̀sẹ̀múlẹ̀ ni ""ar"" (arabic), ""x-baltic"" (baltic languages), ""x-central-euro"" (central european languages), ""x-cyrillic"" (languages written with cyrillic alphabet), ""el"" (greek), ""he"" (hebrew), ""ja"" (japanese), ""ko"" (korean), ""zh-CN"" (simplified chinese), ""th"" (thai), ""zh-TW"" (traditional chinese), ""tr"" (turkish), ""x-unicode"" (other languages), ""x-western"" (languages written in latin script), ""x-tamil"" (tamil) and ""x-devanagari"" (devanagari)."	"The currently selected fonts language. Valid values are ""ar"" (arabic), ""x-baltic"" (baltic languages), ""x-central-euro"" (central european languages), ""x-cyrillic"" (languages written with cyrillic alphabet), ""el"" (greek), ""he"" (hebrew), ""ja"" (japanese), ""ko"" (korean), ""zh-CN"" (simplified chinese), ""th"" (thai), ""zh-TW"" (traditional chinese), ""tr"" (turkish), ""x-unicode"" (other languages), ""x-western"" (languages written in latin script), ""x-tamil"" (tamil) and ""x-devanagari"" (devanagari)."
Ìwọ̀n ìrísí-lẹ́tà tó kéré jù	Minimum font size
Lo àwọn àwọ̀ rẹ	Use own colors
Lo àwọn àwọ̀ tìrẹ dípò àwọn àwọ̀ tí ojú-ìwé náà bèrè fún.	Use your own colors instead of the colors the page requests.
Lo àwọn ìrísí-lẹ́tà rẹ	Use own fonts
Lo àwọn ìrísí-lẹ́tà tìrẹ dípò àwọn ìrísí-lẹ́tà tí ojú-ìwé náà bèrè fún.	Use your own fonts instead of the fonts the page requests.
Ìgbà gbogbo ló máa ń fi àká táàbù hàn	Always show the tab bar
Tún fi àká táàbù náà hàn nígbà tóbá ti ẹ̀ jẹ́ wí pé táàbù kan wà ní ṣíṣí.	Show the tab bar also when there is only one tab open.
Àwọn àgbéwọlé aládàáṣe	Automatic downloads
Nígbà tí a kò bá lè ṣí àwọn fáìlì pẹ̀lú awáròyìn, a jẹ́ pé a ti gbéwọn wọlé nìyẹn sínú fódà àgbéwọlé. bẹ́ẹ̀, la sì ti ṣi pẹ̀lú ìṣàmúlò-ètò tó yẹ.	When files cannot be opened by the browser they are automatically downloaded to the download folder and opened with the appropriate application.
Tẹ à́árín láti ṣí ojú-ìwé wẹ́ẹ̀bù tí àyọkà tí a yàn lọ́wọ́lọ́wọ́ tọ́ka sí	Middle click to open the web page pointed to by the currently selected text
Títẹ̀ péènì òye àárín gangan láàrin á ṣí ojú-ìwé wẹ́ẹ̀bù tí àyọkà tí a yàn lọ́wọ́lọ́wọ́ ń tọ́ka sí.	Middle clicking on the main view pane will open the web page pointed to by the currently selected text.
Sítàì àká-irinṣẹ́	Toolbar style
"Sítàì àká-irinṣẹ́. Àwọn fálù tí a fàyè gbà ni """" (lo sítàì ìpéwọ̀n GNOME),.""àti"" (àyọkà àti àwọn áíkànnù), ""both-horiz"" (àyọkà yàtọ̀ sí àwọn áíkànnù), ""àwọn áíkànnù"" àti ""àyọkà""."	"Toolbar style. Allowed values are """" (use GNOME default style), ""both"" (text and icons), ""both-horiz"" (text besides icons), ""icons"", and ""text""."
Fi àwọn àká-irinṣẹ́ hàn nípa ìpéwọ̀n	Show toolbars by default
Fi àká àwọn àmì-ìwé hàn nípa ìpéwọ̀n	Show bookmarks bar by default
Fi àká-ipò hàn nípa ìpéwọ̀n	Show statusbar by default
Àwọn amúgbálẹ̀gbẹ́ alápọn	Active extensions
́Ń ṣàtòjọ àwọn amúgbálẹ̀gbẹ́ alápọn	Lists the active extensions.
ISO-8859-1	ISO-8859-1
Ìyítumọ̀ ìpéwọ̀n	Default encoding
