yoruba	english
Mozilla (HTML)	Mozilla (HTML)
Àwọn ìkúndùǹ Ìjánu-ìsún Ààyè-iṣẹ́	Workspace Switcher Preferences
Dí	Set
Àwọ̀ ẹ̀yìn	Background color
ID fáìlì ojú-iṣẹ́ àìfẹsẹmúlẹ̀	Invalid desktop file ID
Ṣàyẹ̀wò Àwọn Àtòjọ-ẹ̀yàn	Edit Menus
Àwọn àyọkà ìsàlẹ̀-ilà	Fonts
Fi àmì-àṣírí hàn	Show passwords
Àmì-àṣírí:	Password:
Ń sọ ní pàtó oye ìdádúró ọ̀kẹ́-ìṣísẹ̀ lẹ́yìn tí atọ́ka náà ti wọ agbègbè náà kí pánẹ́ẹ̀lì tó dá farahàn. Ìgbà tí bọ́tìnì ìpamọ́aládàáṣe bá jẹ́ òótọ́ nìkan ni bọ́tìnì yìí wúlò.	Specifies the number of milliseconds delay after the pointer enters the panel area before the panel is automatically re-shown. This key is only relevant if the autohide key is true.
Tẹ̀ láti wo àwọn àdéhùn-ìpàdé àti àwọn iṣẹ́ rẹ	Click to view your appointments and tasks
Sún láàrin àwọn fèrèsé ṣíṣí nípa lílo àwọn bọ́tìnì	Switch between open windows using buttons
Awáròyìn Wẹ́ẹ̀bù Epiphany	Epiphany Web Browser
Àwọn ààtò àti àwọn ìkúndùn aládàáni	Personal settings
À̀yẹ̀wò	Edit
Ṣẹ̀dà Àdírẹ̀sì	Copy Address
FÁÌLÌÀTÒJỌ-Ẹ̀YÀN	MENUFILE
"Tó bá jẹ́ òótọ́, ""Àwọn Ìṣàmúlò-ètò Mímọ̀"" tía tòjọ nínú onísọ̀rọ̀gbèsì ""Rọ́ọ̀nù Ìsàmúlò-ètò""wà nílẹ̀. Bóyá a fẹ ìṣàtòjọ náà tàbí a kò fẹ̀ẹ́, nígbà tí onísọ̀rọ̀gbèsì náà bá ti farahàn bọ́tìnì àtòjọàtòjọ-ètòìfihàn ló ń darí rẹ̀."	"If true, the ""Known Applications"" listing in the ""Run Application"" dialog is made available. Whether or not the listing is expanded when the dialog is shown is controlled by the showprogramlist key."
Ìdẹsẹ̀dúró fún férémù kọ̀ọ̀kan:	Pause per frame:
Fi ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ nìkan hàn	Show only the current workspace
Lọ sí ojú-ìwé tókàn tí a óò bẹ̀ wò	Go to most visited
Yọ Táàbù	Detach Tab
Lo àkókò Ítánẹ́ẹ̀tì	Use Internet time
À̀wọn táàbù	Tabs
Àwọn ojú-ìwé wẹ́ẹ̀bù	Web pages
Dí	l:M p
Aṣàfilọ́lẹ̀ Ìṣàmúlò-ètò Àkànṣe	Custom Application Launcher
Àwọn Fáìlì Ìgbà Díẹ̀	Temporary Files
"position"", ""size"", and ""maximum"	could not get information about output d
Gé ẹ̀yàn náà	Cut the selection
Pa Àwọn Àkọsílẹ̀ Àìpẹ̀ Rẹ́	Clear Recent Documents
Gbé àwọn fèrèsé lọ sí ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ tí a kò bá fẹ̀ẹ́lójú mọ́	Move windows to current workspace when unminimized
Ìṣàmójútó àti àtòpọ̀ ètò kọ̀ǹpútà	System configuration and monitoring
Ńlá Púpọ̀	XX Large
Kò gbà rárá	Never accept
Àkóónú Àtòjọ Fèrèsé	Window List Content
Rọ́ọ̀nù Ìṣàmúlò-ètò...	Choose an application...
Atọ́nà àkójọpọ̀-ìròyìn tí a óó lò nínú àpẹẹrẹ aládàáni	Profile directory to use in the private instance
Táàbù Tókàn	Next Tab
Àwọn Àdéhùn-ìpàdé	Appointments
Yẹ ohun-èlò ápúlẹ́ẹ̀tì wò	Test applet utility
Pánẹ́ẹ̀lì GNOME	The GNOME Panel
Àwọn èdè	Languages
Korean (EUC-KR)	Korean (EUC-KR)
àwọn férémù	frames
Àtòjọ àwọn ìṣàmúlò-ètò àìmọ̀	List of locations
Lọ sí àdírẹ̀sì tí a tẹ̀ wọlé nínú àmúwọlé àdírẹ̀sì	Go to the address entered in the address entry
Gbé Àwọn Àmì-ìwé Jáde	Export Bookmarks…
Á̀mì-àṣírí Òǹlò	User Password
Kọ́lọ̀mù àkọ́lé nìkan ni kí o fihàn	Show the title column
Ṣiṣẹ́ Láìsí Lórí Wáyà	Work Offline
Lọ́ọ̀kì Sí Pánẹ́ẹ̀lì	Lock To Panel
Dènà àwọn àgbéwọlé tó kù díẹ̀?	Abort pending downloads?
